"c_table","c_facet","c_cid"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""26N8""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""26N8""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""26N0""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""26N0""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""26N0""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""26N2""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""26N2""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""26N2""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""26N6""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""26N6""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""26N6""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""26JP""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""26JP""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""26JP""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""26N4""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""26N4""]}]}","record"
