"c_table","c_facet"
"Microscopy:Scan","{""and"": [{""search"": [""20150217-mKD15.5eWTSW20-EAR""], ""source"": ""*""}, {""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}"
"Microscopy:Collection",NULL
"Microscopy:Scan","{""and"": [{""search"": [""20160705-mKD15.5eWTSW-EAR""], ""source"": ""*""}, {""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}"
"Microscopy:Scan","{""and"": [{""search"": [""20160705-mKD15.5eWTSW-EAR""], ""source"": ""*""}, {""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}"
"Microscopy:Collection",NULL
"Microscopy:Scan","{""and"": [{""search"": [""20170403-mKD15.5eWTSW-ER""], ""source"": ""*""}, {""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}"
"Microscopy:Scan","{""and"": [{""search"": [""20170403-mKD15.5eWTSW-ER""], ""source"": ""*""}, {""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}"
"Microscopy:Collection",NULL
"Microscopy:Scan","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}, {""search"": [""20170403-mKD15.5eWTSW-ER""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}, {""search"": [""20170403-mKD15.5eWTSW-ER""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}, {""search"": [""20170403-mKD15.5eWTSW-ER""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}, {""search"": [""20170403-mKD15.5eWTSW-ER""], ""source"": ""*""}]}"
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan","{""and"": [{""search"": [""1VV2""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""1VV2""], ""source"": ""*""}]}"
